"DateTime","SBILIFE","SBILIFE - PE"
"2020-02-13 04:00:00",927.55,68.93
"2020-02-14 04:00:00",914.25,67.94
"2020-02-17 04:00:00",914.4,67.95
"2020-02-18 04:00:00",916.05,68.07
"2020-02-19 04:00:00",938.2,69.72
"2020-02-20 04:00:00",928.75,69.01
"2020-02-24 04:00:00",916.6,68.11
"2020-02-25 04:00:00",901.2,66.97
"2020-02-26 04:00:00",891.35,66.24
"2020-02-27 04:00:00",905.35,67.28
"2020-02-28 04:00:00",890.4,66.16
"2020-03-02 04:00:00",894.15,66.44
"2020-03-03 04:00:00",899.85,66.87
"2020-03-04 04:00:00",885.1,65.77
"2020-03-05 04:00:00",884.45,65.72
"2020-03-06 04:00:00",853.95,63.46
"2020-03-09 04:00:00",825.3,61.33
"2020-03-11 04:00:00",808.95,60.11
"2020-03-12 04:00:00",751.7,55.86
"2020-03-13 04:00:00",761.95,56.62
"2020-03-16 04:00:00",731.55,54.36
"2020-03-17 04:00:00",687,51.05
"2020-03-18 04:00:00",596.25,44.31
"2020-03-19 04:00:00",607.7,45.16
"2020-03-20 04:00:00",633.5,47.07
"2020-03-23 04:00:00",539.2,40.07
"2020-03-24 04:00:00",546.25,40.59
"2020-03-25 04:00:00",587.85,43.68
"2020-03-26 04:00:00",618.15,45.93
"2020-03-27 04:00:00",602.85,44.8
"2020-03-30 04:00:00",622,46.22
"2020-03-31 04:00:00",641,47.63
"2020-04-01 04:00:00",635.1,47.19
"2020-04-03 04:00:00",650.15,48.31
"2020-04-07 04:00:00",735.3,54.64
"2020-04-08 04:00:00",742.8,55.2
"2020-04-09 04:00:00",739.45,54.95
"2020-04-13 04:00:00",707.75,52.59
"2020-04-15 04:00:00",700.9,52.08
"2020-04-16 04:00:00",685.25,50.92
"2020-04-17 04:00:00",702.45,52.2
"2020-04-20 04:00:00",700,52.02
"2020-04-21 04:00:00",671.3,49.88
"2020-04-22 04:00:00",704.8,52.37
"2020-04-23 04:00:00",717.65,53.33
"2020-04-24 04:00:00",679.15,50.47
"2020-04-27 04:00:00",714.1,53.06
"2020-04-28 04:00:00",719.85,53.49
"2020-04-29 04:00:00",713.35,53.01
"2020-04-30 04:00:00",726.85,54.01
"2020-05-04 04:00:00",687.65,51.1
"2020-05-05 04:00:00",713.55,50.3
